Вакансия,Компания,Зарплата,Ссылка
Программист 1С,ООО Экзон: Информационные Системы,"от 80 000 ₽ за месяц, на руки",https://hh.ru/vacancy/115173424?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист .Net,"Красное & Белое, розничная сеть",Зарплата не указана,https://hh.ru/vacancy/114563195?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,ООО Гринтехинжиниринг,"от 200 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/116699465?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior web программист / интегратор (арбитраж трафика),ИП Мартиросян Михаил Арменов,"40 000 – 70 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116520365?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист БУС,Vitamin C,"от 120 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116687498?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C++ Junior,Петров Игорь Кириллович,"от 50 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116529996?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Developer в проект Kwork,Kwork,"250 000 – 320 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/116076994?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Junior),ООО Техцентр ЛУКОМ-А,"до 160 000 ₽ за месяц, до вычета налогов",https://hh.ru/vacancy/116682471?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист C#/ .NET,Syntellect (ООО СИНТЕЛЛЕКТ),Зарплата не указана,https://hh.ru/vacancy/113708451?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист БД,Экосистема,"от 150 000 ₽ за месяц, на руки",https://hh.ru/vacancy/116747160?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
