Вакансия,Компания,Зарплата,Ссылка
Программист 1С,Уникальные решения,"250 000 – 300 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115858193?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"ООО Ниагара, национальная водная компания","140 000 – 200 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116141456?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Хит Сизен Групп,"от 170 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115419781?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО АБР,"от 170 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116105215?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Битрикс программист,Digital Agency Siart,"100 000 – 180 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115367955?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист, разработчик",ИП Фефилов Вячеслав Евгеньевич,"100 000 – 150 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116213107?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ОАО Уральский проектно-изыскательский институт транспортного строительства,Зарплата не указана,https://ekaterinburg.hh.ru/vacancy/115929185?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Облкоммунэнерго,Зарплата не указана,https://ekaterinburg.hh.ru/vacancy/108130655?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Программист C#,АО ДКС,Зарплата не указана,https://ekaterinburg.hh.ru/vacancy/111736400?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Атомстройкомплекс,"от 180 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115684342?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО СТЕЛЛА,"от 120 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/107485029?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО М Партс,"от 200 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116083751?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
SQL-разработчик,ИП Мадатова Айзирек Режавалиевна,"60 000 – 110 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115872372?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,ОАО Российские железные дороги,"до 100 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/116069106?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Много Мебели,"до 250 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/111781632?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист,Уральский федеральный университет,"от 59 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115884494?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист / разработчик,ИП Фефилов Вячеслав Евгеньевич,"130 000 – 200 000 ₽ за месяц, на руки",https://ekaterinburg.hh.ru/vacancy/115903614?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,МУП Водоканал,Зарплата не указана,https://ekaterinburg.hh.ru/vacancy/114552863?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
